zts1e	Nowy przedmiot
zts56e	Miecz o szerszej klindze ni¿ zazwyczaj[n][n]
zts57e	D³ugi miecz mocy
zts58e	Dziêki energii mroku miecz ten powoduje du¿e obra¿enia[n][n]
zts59e	Szeroki miecz
zts60e	Zwyczajny szeroki miecz z wygodn¹ rêkojeœci¹[n][n]
zts61e	Skyabona
zts62e	Tajemnicza moc chroni posiadacza tego miecza przed atakami przeciwników[n][n]
zts63e	Claymore
zts64e	Tylko najlepsi wojownicy otrzymuj¹ ten miecz [n] Zwiêksza si³ê ataku elementu wody [n][n]
zts65e	Dyletancki ³uk
zts66e	Prezent od Mimi Mentor dla wszystkich pocz¹tkuj¹cych ³uczników [n] Poszukiwacze przygód nie mog¹ u¿ywaæ tej broni[n][n]
zts67e	Ma³y ³uk
zts68e	Ma³y drewniany ³uk[n][n]
zts69e	£uk szybkoœci
zts70e	Lekki i szybki ³uk [n] Dziêki swojej szybkoœci zwiêksza iloœæ celnych trafieñ[n][n]
zts71e	£uk bambusowy
zts72e	Nie za bardzo odporny luk zbudowany z bambusa [n][n]
zts73e	Magiczny ³uk
zts74e	£uk, który otrzyma³ magiczne si³y [n] Zwiêksza szkody i czêstotliwoœæ trafieñ[n][n]
zts75e	£uk z dêbowego drzewa
zts76e	Wykonany z dêbowego drewna gwarantuj¹cego zwiêkszon¹ wytrzyma³oœæ[n][n]
zts77e	£uk wiatru
zts78e	£uk ten zosta³ wykonany przez maga wiatru [n] Jego umiejêtnoœci wody zwiêkszaj¹ si³ê ataku[n][n]
zts79e	£uk z rogu
zts80e	Bardzo popularny ³uk pokryty rogiem[n][n]
zts81e	Skórzany ³uk
zts82e	£uk pokryty skór¹ [n] Zadaje krytyczne trafienia[n][n]
zts83e	£uk myœliwski
zts84e	Bardzo stabilny typowy ³uk myœliwski [n] Przeznaczony do walki ze zwierzêtami[n][n]
zts85e	£uk Odwagi
zts86e	£uk tego, kto nigdy nie ba³ siê niebezpieczeñstwa.[n]Zwiêksza atak z elementem ognia[n][n]
zts87e	D³ugi ³uk
zts88e	Wyró¿nia siê niespotykan¹ d³ugoœci¹[n][n]
zts89e	£uk z br¹zu
zts90e	Zwiêkszona stabilnoœæ dziêki chwytowi pokrytemu br¹zem [n] Zwiêksza obronê [n][n]
zts91e	£uk ducha
zts92e	Wzmocniony duch [n]Wzmacnia wszystkie elementy[n][n]
zts93e	Ró¿d¿ka pocz¹tkuj¹cego maga
zts94e	Wrêczany ka¿demu pocz¹tkuj¹cemu magowi[n] Poszukiwacz przygód nie mo¿e go za³o¿yæ[n][n]
zts95e	Czerwona ró¿d¿ka z per³¹
zts96e	Ozdobiona czerwonymi per³ami[n][n]
zts97e	Ró¿d¿ka ducha
zts98e	Ozdobiona niebieskimi per³ami [n]Tajemnicza si³a pere³ zwiêksza magiczn¹ si³ê ataku[n][n]
zts99e	Ró¿d¿ka z rubinem
zts100e	Ozdobione wielkim rubinem [n][n]
zts101e	Magiczna Ró¿d¿ka
zts102e	Umieszcza magiczny py³ na niebieskiej perle 'Ró¿d¿ki duchów' [n][n]
zts103e	Ró¿d¿ka z b³êkitnych pere³
zts104e	Ozdobione niebiesk¹ per³¹ [n][n]
zts105e	Ró¿d¿ka Œwiat³a
zts106e	Tajemnicze œwiat³o otacza broñ i zwiêksza Twój atak, podczas gdy dodatkowo polepsza Twoj¹ regeneracjê.[n][n]
zts107e	Ró¿d¿ka Zdobiona Opalami
zts108e	Ozdobione Kamieniami Opalu
zts109e	Ró¿d¿ka many
zts110e	Zwiêksza twój zapas many oraz jej regeneracjê.[n][n]
zts111e	Koralowa Ró¿d¿ka
zts112e	Ozdobione per³¹ [n][n]
zts113e	Ró¿d¿ka Honoru
zts114e	Tylko szacownym magom jest dozwolone, u¿ywanie tej Ró¿d¿ki przeciwko mocom z³a.[n][n]
zts115e	Kryszta³owa ró¿d¿ka
zts116e	Ozdobione kamieniami szlachetnymi [n][n]
zts117e	Ró¿d¿ka Inteligencji
zts118e	Kula Honoru oczyszczona z tajemniczego proszku [n][n]
zts119e	Ró¿d¿ka Cienia
zts120e	Wype³nione Ciemn¹ Energi¹ [n][n]
zts121e	Skórzane Rêkawice
zts122e	Potrafi z ³atwoœci¹ naci¹gn¹æ ciêciwê ³uku.[n] Zwiêksza si³ê ataku d³ugodystansowego [n][n]
zts123e	Mocne rêkawice
zts124e	Zapobiega wyœlizgiwaniu siê broni. [n] Zwiêksza si³ê ataku z bliska [n][n]
zts125e	Buty Poszukiwacza Przygód
zts126e	Ubieraj¹ go poszukiwacze przygód [n][n]
zts127e	Buty na koturnie
zts128e	Zrobione z dobrych materia³ów [n][n]
zts129e	Buty Skórzane
zts130e	Zrobione ze skóry [n][n]
zts131e	Wrotki
zts132e	Mo¿esz przesuwaæ siê bardzo szybko [n] Pierwotnie u¿ywane do tañca [n][n]
zts133e	Miecz Doœwiadczonego Poszukiwacza Przygód
zts134e	Doœwiadczeni poszukiwacze przygód u¿ywaj¹ ten broni, kiedy zakoñcz¹ wykszta³cenie.[n][n]
zts135e	Katapulta mistrza
zts136e	Doœwiadczeni poszukiwacze przygód u¿ywaj¹ tej broni, po zakoñczeniu wykszta³cenia.[n][n]
zts137e	Kusza dla pocz¹tkuj¹cego wojownika
zts138e	Prezent od Mimi Mentor dla wszystkich uczniów na wojownika.[n]Poszukiwacze przygód nie mog¹ tej broni u¿ywaæ.[n][n]
zts139e	Kusza z dêbowego drewna
zts140e	Stabilna kusza z drzewa dêbowego [n][n]
zts141e	Kusza wró¿ki
zts142e	Kusza stra¿nika lasu ma zwiêkszon¹ celnoœæ[n][n]
zts143e	Cienkie rêkawiczki
zts144e	Za s³aby, by zostaæ efektywnie wykorzystany [n][n]
zts145e	Gumowe rêkawice
zts146e	Guma sprawia, ¿e potrafi¹ z ³atwoœci¹ przenosiæ ciê¿kie przedmioty[n][n]
zts147e	Stalowa kusza
zts148e	Ciê¿ka stalowa kusza ze zwiêkszon¹ si³¹ ataku.[n][n]
zts149e	Zdobiona kusza
zts150e	Luksusowe arcydzie³o [n] Œwietnie wywa¿one [n][n]
zts151e	Kusza cienia
zts152e	Tradycyjna kusza z wygodnym uchwytem, która otoczona jest ciemnymi mocami.[n][n]
zts153e	Kusza z bukowego drewna
zts154e	Ma dobr¹ trwa³oœæ [n] mo¿e byæ szybko za³adowany[n][n]
zts155e	Kusza Odwagi
zts156e	Wype³niona duchem wojownika.[n]Zwiêksza morale[n][n]
zts157e	Ma³y sztylet
zts158e	Prezent od Mimi Mentor dla wszystkich uczniów na ³ucznika.[n]Poszukiwacze przygód nie mog¹ u¿ywaæ tej broni.[n][n]
zts159e	Sztylet
zts160e	Niepozorny ma³y sztylet ze stali[n][n]
zts161e	Sztylet Mêki
zts162e	Stajesz siê silniejszy w trudnych sytuacjach.[n]Zwiêksza szansê krytycznego uderzenia[n][n]
zts163e	Szlachetny Sztylet
zts164e	Sztylet ozdobiony tajemnicz¹ bi¿uteri¹ [n] Zwiêksza si³ê ataku.[n][n]
zts165e	Sztylet - arcydzie³o sztuki
zts166e	Zrobione po mistrzowsku [n] Luksusowe i œwietnie wywa¿one [n][n]
zts167e	Sztylet
zts168e	Zwyk³y sztylet w podstawowym poziomie [n][n]
zts169e	Sztylet ozdobiony rubinami
zts170e	Ten sztylet ozdobiony rubinami, jest dum¹ ka¿dego ³ucznika.[n][n]
zts171e	Sztylet ducha
zts172e	Wype³nione duchow¹ moc¹ [n] Zawiera 4 rodzaje elementów [n][n]
zts173e	Miotacz zaklêæ pocz¹tkuj¹cego Maga
zts174e	Prezent od Mimi Mentor dla wszystkich uczniów na maga.[n]Poszukiwacze przygód nie mog¹ u¿ywaæ tej broni.[n][n]
zts175e	Ma³y miotacz zaklêæ
zts176e	Ma³a, niezbyt wydajna broñ, która nadaje siê szczególnie dla pocz¹tkuj¹cych magów.[n][n]
zts177e	Magiczny miotacz zaklêæ
zts178e	Ta broñ jest otoczona dobr¹ i potê¿n¹ magi¹. Nie daje czarnej magii szans, aby j¹ zniszczyæ.[n][n]
zts179e	Z³oty miotacz zaklêæ
zts180e	Jego wyró¿niaj¹ca siê z³ota ozdoba przyci¹ga uwagê wszystkich magów i jest dlatego bardzo popularna.[n][n]
zts181e	Miotacz zaklêæ - arcydzie³o
zts182e	Zrobiony przez mistrza miotacza zaklêæ.[n] Wysoka stabilnoœæ i mo¿liwoœæ uzyskania krytycznego ataku[n][n]
zts183e	Mosiê¿ny miotacz zaklêæ
zts184e	Zrobione z mosi¹dzu. [n] Ciê¿kie, ale bardzo wytrzyma³e.[n][n]
zts185e	RzeŸbiony miotacz zaklêæ
zts186e	Szlachetni magowie wybieraj¹ t¹ broñ ze wzglêdu da jej umiejêtnoœæ ulepszenia magicznych ataków.[n][n]
zts187e	Miotacz zaklêæ mrocznoœci
zts188e	Dobry dla gwa³townego ataku[n]Posiada ogromne moce [n][n]
zts189e	Pancerz pocz¹tkuj¹cego wojownika
zts190e	Wrêczany wszystkim wojownikom na poziomie podstawowym[n][n]
zts191e	Wyœcie³any pancerz
zts192e	Dodaje warstwê tkaniny[n]Nie posiada wysokiej si³y obrony[n][n]
zts193e	Obszyty pancerz
zts194e	Dodaje warstwê bawe³ny[n]Lekka i ciep³a[n][n]
zts195e	Skórzany pancerz
zts196e	Zrobione z ciemnej skóry [n][n]
zts197e	Pancerz wytrzyma³oœci
zts198e	Zwiêksza energiê i wytrzyma³oœæ [n][n]
zts199e	P³ytowy skórzany pancerz
zts200e	Dodaje kawa³ki ¿elaza na skórze.[n] Nie posiada zbyt du¿ej si³y obronnej[n][n]
zts201e	Ulepszony skórzany pancerz
zts202e	Dodaje podwójn¹ warstwê skóry umoczon¹ w oleju.[n]Spora obrona i lekki pancerz[n][n]
zts203e	£uskowy pancerz
zts204e	Po³¹czone ze sob¹ metalowe ³uski[n][n]
zts205e	Pancerz Moralnoœci
zts206e	Dziêki temu pancerzowi, Morale nie zmienia siê. [n][n]
zts207e	Pancerz p³ytowy
zts208e	Dodaje stalow¹ p³ytkê wewn¹trz pancerza[n][n]
zts209e	Z³oty nitowany pancerz
zts210e	Przepiêknie zdobiony z³otymi nitami[n] ciê¿ki, ale wyj¹tkowo dobry do obrony przeciwko magii[n][n]
zts211e	Pancerz ³uskowy
zts212e	Zawiera gêstsze p³yty stali ni¿ 'pancerz p³ytowy'
zts213e	Pancerz zwiêz³oœci
zts214e	Zwiêksza si³ê ataku [n][n]
zts215e	Tunika pocz¹tkuj¹cego ³ucznika
zts216e	Wrêczany ka¿demu pocz¹tkuj¹cemu ³ucznikowi[n][n]
zts217e	Tunika z owczej skóry
zts218e	Zrobione z owczej skóry [n][n]
zts219e	Tunika Veloa
zts220e	Sztucznie naszyty na skórze i bardziej wygodny do noszenia. [n] Niewiele zwiêksza prawdopodobieñstwo doznania œmiertelnych obra¿eñ od ka¿dej broni [n][n]
zts221e	Kozia tunika
zts222e	Zrobione z koziej skóry [n][n]
zts223e	Tunika uniku
zts224e	Bardzo lekkie i wygodne, jakby nic siê na sobie nie mia³o.[n]Zwiêksza Uniki od bliskich ataków.[n][n]
zts225e	Tunika z cielêcej skóry
zts226e	Zrobiony ze skóry bydlêcej [n][n]
zts227e	Zamszowa tunika
zts228e	Miêkka wygarbowana skóra [n]Bardzo ciep³a i wygodna. Przywraca P¯ i PM[n][n]
zts229e	Szata z krowiej skóry
zts230e	Zrobione z krowiej skóry [n][n]
zts231e	Tunika Wzroku
zts232e	Masz szersze pole widzenia, co zwiêksza si³ê ataku [n][n]
zts233e	Szata Peccary
zts234e	Zrobiona ze œwiñskiej skóry[n][n]
zts235e	Szata Nubuk
zts236e	Miêkka karbowana krowia skóra.[n]Bardzo dobra na bliski atak[n][n]
zts237e	Szata Toskana
zts238e	Ma miêkkie futro [n][n]
zts239e	Tunika ducha
zts240e	Chronione przez duchy. [n] Ma du¿a si³ê obrony [n][n]
zts241e	Szaty pocz¹tkuj¹cego maga
zts242e	Wrêczany wszystkim magom [n][n]
zts243e	Bawe³niana szata
zts244e	Zrobione z bawe³ny [n][n]
zts245e	Magiczna bawe³niana szata
zts246e	Otacza magiczn¹ moc¹. [n] Regeneruje P¯ [n][n]
zts247e	Lniana szata
zts248e	Cienka tkana szata [n] blokuje dalekie ataki [n][n]
zts249e	Szata wypoczynkowa
zts250e	Skupia twoj¹ energiê duchow¹ [n] Przywraca PM i blokuje bliskie ataki [n][n]
zts251e	Tweed'owa szata
zts252e	Wykonany z wytrzyma³ej nici, [n] chroni ciê przed atakami z bliskiej odleg³oœci oraz przed ogniem. [n][n]
zts253e	Ulepszona lniana szata
zts254e	Mieszanka bawe³ny i lnu zwiêkszaj¹ca trwa³oœæ tkaniny.[n] T³umi bliskie ataki[n][n]
zts255e	Szata Muslin
zts256e	lekki, ciep³y i elastyczny [n][n]
zts257e	¯ywio³owe szaty
zts258e	Podwy¿sza odpornoœæ przeciwko wszystkim elementom
zts259e	Jedwabna szata
zts260e	Luksusowa szata wykonana z jedwabiu [n][n]
zts261e	Szata w kratkê
zts262e	Mam niespotykane wzory, które wzmacniaj¹ magiczne efekty [n][n]
zts263e	Szata ozdobiona rybimi oœæmi
zts264e	Tweed z luksusowym wzorem. Sprawia, ¿e wygl¹dasz na uczonego [n][n]
zts265e	Szata mroku
zts266e	Skazuje na zag³adê tych, którzy oœmiel¹ siê ciebie zaatakowaæ [n][n]
zts267e	Szata starych poszukiwaczy przygód
zts268e	Popularny wœród starych poszukiwaczy przygód[n][n]
zts269e	Maska kovolta dla administratorów (GM)
zts270e	Gladiator
zts271e	Krótki miecz dla gladiatorów [n] Ma du¿e prawdopodobieñstwo zadania œmiertelnego trafienia i zwiêksza morale [n][n]
zts272e	Miecz Walloon
zts273e	Ma sta³¹ si³ê ataku [n][n]
zts274e	Miecz Wikinga
zts275e	Miecz brutalnego wojownika. [n] przepe³niony mroczn¹ energi¹ [n][n]
zts276e	Falcjon
zts277e	Ci, którzy u¿ywaj¹ tego miecza doœwiadcz¹ wysokiego morale [n][n]
zts278e	Katzbalger
zts279e	Du¿e prawdopodobieñstwo krytycznych trafieñ i zwiêksza obra¿enia [n][n]
zts280e	Miecz rycerski
zts281e	Klinga mê¿nych rycerzy [n] Zwiêksza energiê œwiat³a [n][n]
zts282e	Zabójca
zts283e	Cechuje siê olbrzymi¹ si³¹ przy krytycznych trafieniach [n][n]
zts284e	£uk ¿ycia
zts285e	Cienki i niestabilny ³uk, który zadaje krytyczne obra¿enia[n][n]
zts286e	Ognisty ³uk
zts287e	£uk otoczony potê¿na energi¹ ognia, która zwiêksza obra¿enia[n][n]
zts288e	Syntetyczny ³uk
zts289e	Stabilny i trwa³y ³uk, który potrafi zadaæ œmiertelne obra¿enia[n][n]
zts290e	Podwójny ³uk
zts291e	Dziêki atakowi elementu œwiat³a ³uk ten zadaje wiêksze obra¿enia[n][n]
zts292e	Dziki ³uk
zts293e	Obecnoœæ mrocznej energii zwiêksza obra¿enia i twoje morale[n][n]
zts294e	Du¿y ³uk
zts295e	Dziêki elementowi wody ³uk ten zadaje du¿e obra¿enia [n] Prawdopodobieñstwo krytycznego trafienia jest zmniejszone[n][n]
zts296e	£uk oblê¿niczy
zts297e	Zwiêkszone krytyczne obra¿enia dziêki dodanemu elementowi ognia[n][n]
zts298e	Ró¿d¿ka ¿ycia
zts299e	Nape³nia swojego u¿ytkownika energi¹ ¿ycia [n]
zts300e	Ognista ró¿d¿ka
zts301e	Wype³niony du¿¹ iloœci¹ energii ognia [n] ale ma³¹ iloœci¹ energii wody [n][n]
zts302e	Ró¿d¿ka z lodu
zts303e	Zawiera skoncentrowan¹ energie wody [n][n]
zts304e	Ró¿d¿ka Loon
zts305e	Zastosowanie magii zwiêksza obra¿enia [n][n]
zts306e	Ró¿d¿ka
zts307e	Wype³niony przez 2 energie [n] Zmniejsza zu¿ycie many podczas przywo³ania [n][n]
zts308e	Œwiêta ró¿d¿ka
zts309e	Chroniony przez œwiête moce [n][n]
zts310e	Ró¿d¿ka duszy
zts311e	Silna energia ducha chroni u¿ytkownika [n][n]
zts312e	Kusza bojowa
zts313e	Stworzona do walki i bardzo skuteczna [n][n]
zts314e	Kusza oblê¿nicza
zts315e	Wype³niona energi¹ ognia, ma du¿¹ si³ê ataku [n][n]
zts316e	Sztylet górala
zts317e	Niebezpieczny sztylet, charakteryzuj¹cy siê du¿ym prawdopodobieñstwie zadania krytycznego trafienia[n][n]
zts318e	Sztylet Poignard
zts319e	Sztylet wype³niony mroczn¹ energi¹[n][n]
zts320e	Miotacz zaklêæ wró¿ki
zts321e	Ma bardzo du¿¹ maksymaln¹ si³ê ataku [n][n]
zts322e	Miotacz zaklêæ z br¹zu
zts323e	Dodana energia wody [n][n]
zts324e	Bezpieczny pancerz
zts325e	Bardzo dobry przy nastawianiu siê na obronê [n][n]
zts326e	Pancerz z twardej skóry
zts327e	Posiada wysoki poziom obrony i chroni przed ogniem. [n][n]
zts328e	Pancerz zwyciêzcy
zts329e	Zabezpiecza przed dalekimi atakami [n][n]
zts330e	Zbroja obroñcy
zts331e	Zmniejsza obra¿enia od bliskich ataków dziêki ochronie œwiat³a [n][n]
zts332e	Pancerz rycerski
zts333e	Pancerz rycerski. Zwiêksza unik i zdolnoœæ blokowania [n][n]
zts334e	Kamienny pancerz
zts335e	Specjalny pancerz, potrafi¹cy zarówno absorbowaæ jak i blokowaæ [n][n]
zts336e	B³yskawiczna tunika
zts337e	Zwiêkszona obrona przed dalekimi i magicznymi atakami [n][n]
zts338e	Tunika natury
zts339e	Wype³niona energi¹ natury zwiêksza P¯ i PM [n][n]
zts340e	Tunika rekina
zts341e	Blokuje bliskie i magiczne ataki [n][n]
zts342e	Tunika oddechu
zts343e	Przesi¹kniêta oddechem zmar³ych
zts344e	Tunika wiatru
zts345e	Blokuje wszystkie rodzaje ataków [n][n]
zts346e	Tunika Dryad
zts347e	Zawiera wszystkie rodzaje energii i odpornoœci [n] Zmniejsza zu¿ycie many [n][n]
zts348e	Szata ¿ó³todzioba
zts349e	Zwiêksza obronê przed bliskimi i dalekimi atakami [n][n]
zts350e	Szata ³agodnoœci
zts351e	Blokuje dalekie ataki [n][n]
zts352e	Szata oœwiecenia
zts353e	Dobra w obronie przed bliskimi atakami i odporna na ogieñ [n][n]
zts354e	Udekorowana szata
zts355e	Wype³niona odpornoœci¹ na œwiat³o i wodê [n][n]
zts356e	Czarodziejska szata
zts357e	Zmniejsza zu¿ycie manny [n][n]
zts358e	Szata Ÿród³a
zts359e	Z pewnym prawdopodobieñstwem jest w stanie zablokowaæ wszystkie ataki [n][n]
zts360e	Amulet ataku
zts361e	Amulet obrony
zts362e	Amulet ataku i obrony
zts363e	Amulet si³y ataku
zts364e	Amulet si³y obronny
zts365e	Amulet leczenia choroby
zts366e	Amulet odpornoœci na ogieñ
zts367e	Amulet odpornoœci na œwiat³o
zts368e	Amulet odpornoœci na wodê
zts369e	Amulet odpornoœci na mrok
zts370e	Amulet wszystkich odpornoœci
zts371e	Amulet krytycznego trafienia
zts372e	Amulet krytycznych obra¿eñ
zts373e	Amulet fizycznej absorpcji
zts374e	Amulet absorpcji magi
zts375e	Amulet absorpcji dalekich ataków
zts376e	Amulet absorpcji wszystkich ataków
zts377e	Amulet blokowania fizycznych ataków
zts378e	Amulet blokowania magii
zts379e	Amulet blokowania dalekich ataków
zts380e	Opaska
zts381e	Ochrania g³owê przed silnymi atakami [n]
zts382e	Miêkki kapelusz
zts383e	Jest to miêkki kapelusz [n][n]
zts384e	Liœcie do kamufla¿u
zts385e	Nie wydaj¹ siê byæ zbyt przydatne [n][n]
zts386e	Nauszniki Mandry
zts387e	Dobrze przylegaj¹ do uszu [n] Z pewnym prawdopodobieñstwem chroni¹ przed okrzykiem Mandry [n][n]
zts388e	Kapelusz hipopotama
zts389e	Bardzo miêkki kapelusz w kszta³cie hipopotama [n] Z du¿ym prawdopodobieñstwem chroni przed zamroczeniem [n][n]
zts390e	Modne okulary
zts391e	Maska kovolta
zts392e	Maska twarzy kovolta. [n] Nawet jeœli zaatakujesz górnika kovolt, inni górnicy nie zaatakuj¹ Ciê [n][n]
zts393e	Poro¿e
zts394e	Zwiêksza P¯ [n] Z pewnym prawdopodobieñstwem chroni przed okrzykiem Mandry [n][n]
zts395e	Kapelusz w kszta³cie przepychacza
zts396e	Opaska
zts397e	Z du¿ym prawdopodobieñstwem zapobiega krwawieniu [n][n]
zts398e	Czu³ki
zts399e	Opaska Wyroczni
zts400e	Czapka Pooh Pooh
zts401e	Kapelusz w kszta³cie czubka
zts402e	Róg bawo³a
zts403e	Kanciaste okulary
zts404e	Mrugaj¹ca maska
zts405e	Maska nietoperza
zts406e	Monokl
zts407e	Maska X
zts408e	Broda i makija¿
zts409e	Amulet blokowania wszystkich ciosów
zts410e	Amulet energii ognia
zts411e	Amulet energii wody
zts412e	Amulet energii œwiat³a
zts413e	Amulet energii mroku
zts414e	Amulet zwiêkszaj¹cy energiê mroku
zts415e	Ma³e pisklê
zts417e	M³ode pisklê
zts418e	Pisklê
zts419e	Amulet bezpiecznych zak³adów (broñ)
zts420e	Za³ó¿ amulet, jeœli obstawianie nie powiedzie siê [n] zamiast broni zniknie amulet [n] (Mo¿na u¿yæ 3 razy) [n][n]
zts421e	Amulet bezpiecznego obstawiania (wyposa¿enie)
zts422e	Za³ó¿ amulet, jeœli obstawianie nie powiedzie siê [n] zamiast wyposa¿enia zniknie amulet [n] (Mo¿na u¿yæ 3 razy) [n][n]
zts423e	Amulet Zwiêkszenia Poziomu Rzadkoœci
zts424e	Za³ó¿ amulet, podczas obstawiania poziom rzadkoœci zostanie zwiêkszony o 1 [n] (Zawsze koñczy siê powodzeniem) [n][n]
zts425e	Amulet do wzmacniania poziomu utrwalonej broni
zts426e	Jeœli go zachowasz, mo¿esz wzmocniæ broñ z utrwalonym poziomem[n]ale wzmocnienie zostanie wykonane z pierwotnym stopniem.[n] Ale ponownie mo¿esz zdobyæ poziom, aby go utrwaliæ[n] Jeœli powiedzie Ci siê we wzmacnianiu, poziom zostanie uwolniony.[n]Jeœli Ci siê nie powiedzie, przedmiot mo¿e znikn¹æ[n]Wiêc uwa¿aj[n]Ostrze¿enie![n]Mo¿e byæ u¿yty dwa razy[n][n]
zts427e	Amulet ulepszania ustalonego poziomu wyposa¿enia
zts428e	Jeœli go zachowasz, mo¿esz ulepszyæ ustalony poziom wyposa¿enia[n] ale ulepszenie zostanie wykonane jak w pierwotnym stanie[n] Ale ponownie mo¿esz uzyskaæ utrwalony poziom[n] Jeœli powiedzie Ci siê przy ulepszeniu, poziom zostanie uwolniony.[n]Jeœli Ci siê nie powiedzie, przedmiot mo¿e znikn¹æ [n]Wiêc uwa¿aj! Ostrze¿enie! [n](Mo¿e zostaæ u¿yty 2 razy)[n][n]
zts429e	Miecz rycerza Elvin
zts430e	Wype³niony œwiêt¹ energi¹ [n][n]
zts431e	Pe³en chwa³y
zts432e	Wype³niony duchow¹ energi¹ [n] posiada wszystkie rodzaje energii i odpornoœci [n][n]
zts433e	Rêka
zts434e	Atak zmniejsza odpornoœci przeciwnika o po³owê [n] i redukuje krytyczne obra¿enia [n][n]
zts435e	Czerwony ³uk
zts436e	Zwiêksza bliski atak i wysysa energiê ¿yciow¹ przeciwnika [n][n]
zts437e	£uk pokoju
zts438e	Dziêki sile natury wytwarzana jest du¿a energia znacz¹co zwiêkszaj¹ca obra¿enia [n][n]
zts439e	Majestatyczny ³uk
zts440e	Obejmuje wszystkie energie, dziêki czemu w³aœciciel otrzymuje mniejsze obra¿enia od magicznych ataków[n][n]
zts441e	Legendarna ró¿d¿ka
zts442e	Posiada energiê ognia [n] Mo¿e ukraœæ duszê przeciwnika [n][n]
zts443e	Ró¿d¿ka ducha
zts444e	Kij ten jest schowany, zwiêksza charakterystyki w³aœciciela i zmniejsza odpornoœci przeciwnika
zts445e	Majestatyczna ró¿d¿ka
zts446e	Ktoœ rozs¹dny normalnie za³o¿y³by aby siê chroniæ [n][n]
zts447e	B³êkitna sprytna szata
zts448e	Szata testowa
zts449e	Ukochana
zts450e	Nie rozwija siê, ma jednak 30 poziom [n] Gdy jest w dobrym nastroju, b³ogos³awi gracza [n][n]
zts451e	Sellaim
zts452e	Wró¿ka ognie rozwija siê do poziomu 70.[n] Nie mo¿na wymieniaæ z innymi graczami![n][n]
zts453e	Woondine
zts454e	Wró¿ka wody rozwija siê do poziomu 70.[n] Nie mo¿na wymieniaæ z innymi graczami![n][n]
zts455e	Eperial
